date,zone,supply_area,day_of_week,time_of_supply,hours_of_supply,population_served,demand_forecast_m3,actual_consumption_m3,price_per_litre,pipe_leakage_m3,complaints_received,rainfall_mm
2022-01-01,Southern,Area 5,Saturday,Morning,12,10000,461,460.9893765635005,0.1,404,19,0.1361518673094749
2022-01-02,Southern,Area 2,Sunday,Afternoon,12,10000,550,536.7201362444205,0.1,401,14,0.0
2022-01-03,Western,Area 1,Monday,Morning,12,10366,544,558.8745538912758,0.10043359647906837,400,22,5.541848764368505
2022-01-04,Western,Area 1,Tuesday,Morning,12,10000,584,558.633130462436,0.1,391,19,5.285218077162804
2022-01-05,Southern,Area 3,Wednesday,Morning,12,10000,648,642.163411102671,0.1,398,23,5.679202140452514
2022-01-06,Western,Area 2,Thursday,Afternoon,12,10000,704,707.2775653047463,0.1,394,23,7.49976660482152
2022-01-07,Southern,Area 6,Friday,Morning,12,10000,716,703.9780507066966,0.1,403,19,10.15283283468346
2022-01-08,Southern,Area 1,Saturday,Morning,12,10000,725,756.9069679928779,0.10097275227168559,399,19,9.57375274375969
2022-01-09,Central,Area 4,Sunday,Afternoon,12,10630,825,831.4564636958467,0.10286640162086723,394,21,10.562101949656322
2022-01-10,Central,Area 1,Monday,Morning,12,10197,689,666.5872496616273,0.10193158708944533,392,17,4.525056580818541
2022-01-11,Western,Area 6,Tuesday,Afternoon,12,10000,665,691.5122041013339,0.1,392,20,9.15930227206127
2022-01-12,Southern,Area 5,Wednesday,Afternoon,12,10000,647,655.2479495121294,0.10022298239670879,402,22,8.744453864916066
2022-01-13,Central,Area 3,Thursday,Afternoon,12,10000,607,627.6468367133986,0.10169966781504568,399,16,9.10021684742044
2022-01-14,Southern,Area 6,Friday,Morning,12,10000,653,664.7325804109686,0.1,391,23,9.326644132592863
2022-01-15,Western,Area 1,Saturday,Morning,12,10000,590,600.2790545211855,0.1012023021906869,393,23,13.011225957833446
2022-01-16,Central,Area 2,Sunday,Morning,12,10732,481,491.10678548616147,0.10736887918812954,389,24,7.35144887111772
2022-01-17,Southern,Area 3,Monday,Morning,12,10201,464,478.13294794534835,0.1,391,28,8.375570364232733
2022-01-18,Western,Area 6,Tuesday,Afternoon,12,11078,278,291.2281693472719,0.10249810983143341,393,21,6.130005514153442
2022-01-19,Southern,Area 4,Wednesday,Afternoon,12,10267,323,334.0701534175186,0.1,377,23,5.191936643642148
2022-01-20,Southern,Area 5,Thursday,Morning,12,10220,410,418.9966624298599,0.1,378,24,0.24666720579599
2022-01-21,Central,Area 5,Friday,Afternoon,12,10954,339,348.06822711533465,0.1001352160037564,389,18,1.7664279999869532
2022-01-22,Southern,Area 4,Saturday,Afternoon,12,11153,335,338.3945237700677,0.1,388,20,0.0
2022-01-23,Central,Area 2,Sunday,Morning,12,10010,310,308.1346951103619,0.1,387,18,4.4283781042263906
2022-01-24,Western,Area 2,Monday,Morning,12,10378,398,380.4068720075895,0.1006748646263033,379,25,0.9904633525118474
2022-01-25,Southern,Area 1,Tuesday,Afternoon,12,10148,282,286.05157597973357,0.11347062542809154,381,15,4.571024273633972
2022-01-26,Southern,Area 4,Wednesday,Afternoon,12,10000,314,327.56865943930325,0.10588657194353038,380,18,8.92663138431539
